Description,Price
"I have a 2022 Ssangyong Rexton Ultimate AWD in white/black, 2.2L 4 cyl diesel, automatic, 5595 km, 4 doors, 7 seats.",51990
"I am looking at a 2022 MG MG3, used, black, 1.5L 4 cyl engine, front-wheel drive, automatic, 5 doors, 5 seats.",19990
"I have a 2022 BMW 430I M Sport, 2L 4 cyl, automatic, rear-wheel drive, grey color, white interior, used with 8472 km driven.",108988
"I have a 2011 Mercedes-Benz E500 Elegance, 5.5L 8 cyl, automatic, rear-wheel drive, white color, brown interior, used with 136517 km driven.",32990
"I am looking at a used 2022 Renault Arkana SUV, grey with a black interior. It's got a 1.3L engine, automatic transmission, and has covered just 1035 km.",34990
"I am looking at a 2004 Toyota Estima T EDITION, grey with an automatic transmission, and 160230 km on the clock. It's a used model, with a black interior, and has traveled 160230 km.",9990
"A 2017 Land Rover Range Rover Evoque TD4 180 HSE Dynamic in white, used. It boasts a black interior, 2L diesel engine, automatic transmission, AWD, and has covered 67662 km.",62280
"It's a 2000 Nissan Pulsar LX hatchback, red exterior, grey interior, automatic transmission, 1.6 L, 4 cyl engine, with a mileage of 300539 km.",2995
"I am looking at a used 2013 Toyota 86 GT. This black coupe features a 4-cylinder, 2 L engine, automatic, rear-wheel drive, and has 82012 kilometers on it.",24888
"2014 Honda Jazz Hybrid, blue, with a 1.3 L 4-cyl engine, auto, 38229 km, 5 doors, 5 seats, has 38229 km.",17900
"I am looking at a 2009 Toyota HiAce, white, auto, used, and used. It comes with a mileage of 148190 km, and has traveled a total of 148190 km.",42500
"I have a 2018 Toyota HiAce LWB commercial, 4-door with a 2.7 L, 4-cylinder engine, rear drive, in white. It's an automatic with just 16,324 km.",41999
"I have a 2015 Honda City GM VTi-L Sedan, black, used. It's an automatic, unspecified engine size, with 181,745 km.",11999
"I have a 2016 Toyota HiAce LWB, white with grey interior. It's a 4-cylinder, 3 L diesel, automatic, with 229,829 km.",27995
"I've got a white 2012 Volkswagen Golf 90 TSI Trendline, hatchback style. This car has an automatic transmission, 1.4 L, 4 cyl engine, and 55,676 km on the meter.",14999
"I have a 2014 BMW X3 X3 Xdrive, a black 2014 BMW X3 Xdrive, used. It's an automatic with a 2L engine, 4 cyl engine, and has clocked 82624 km.",24985
"I am looking at a used 2013 Mitsubishi Outlander ES. This blue model features a grey interior, grey interior, and has 120020 km on the odometer.",13999
"I am looking at a 2011 BMW 118D, silver, diesel, automatic, rear-wheel drive, 2L 4 cyl engine, with 95204 km on it.",13999
"2014 Ford Fiesta Sport, white hatchback, black interior, automatic transmission, 1 L, 3 cyl engine, with 76289 km on the odometer.",12400
"I have a 2012 Mitsubishi Outlander LS, a black 2012 Mitsubishi Outlander LS, used. It's an automatic with a 2.4L engine, and has clocked 219681 km.",13999
"I am looking at a used 2013 Ford Fiesta Zetec. Blue hatchback, black interior, automatic transmission, 1.6 L, 4 cyl engine, with 98079 kilometers.",11999
"A 2023 Volkswagen Amarok Style TDI600 is available. It's a white SUV with a black interior, 3 L diesel engine, and has clocked 5 doors, 5 seats.",83887
"I am looking at a 2018 Honda Jazz VTI, a silver hatchback with black interior. It's an automatic with a 1.5 L, 4 cyl engine, and has done 43274 km.",19900
"I have a 2012 Subaru Outback 2.5I, black hatchback with a black interior. It's an automatic with a 2.5L engine, and has clocked 105672 km.",17990
"I am looking at a 2018 Mitsubishi Mirage ES, a black hatchback with automatic transmission, 1.2-liter engine, and 36836 km on the odometer.",14995
"I have a 2005 Toyota Camry Altise, a white 2005 Toyota Camry Altise. It's an automatic with a 2.4 L, 4 cyl engine, and has clocked 115821 km.",8499
"I am looking at a black 2013 BMW 3 Series 28i. It's a used model, with a black interior, and has clocked 143119 km on the odometer.",21999
"I have a 2011 Hyundai I45 Active, a sleek silver exterior. It's an automatic with a 2.4 L, 4 cyl engine, and has clocked 189711 km.",12990
"There is a used 2015 Ford Territory TS in blue, diesel-powered. It's an automatic with a 2.7L engine, 6 cyl engine, and has done 173786 km.",16999
"There is a used 2018 Nissan Qashqai ST in blue, a 4-door SUV with an automatic transmission. It's equipped with a 2L engine and has done 114301 km.",21950
"I have a 2013 Volkswagen Golf GTI, a hatchback in black with a black interior. It's an automatic with a 2 L, 4-cylinder engine, and has clocked 69197 km.",24880
"It's a 2015 Hyundai Tucson Active, grey with a grey interior. Equipped with a 2L 4-cylinder engine, automatic, and 94377 km on the clock.",23888
"For sale: 2016 Ford Focus Trend, white exterior, black interior. This hatchback features a 1.5 L, 4 cyl engine, automatic, and has 94965 km.",16999
"I have a 2019 Nissan X-Trail ST 7 seater, grey exterior, 2.5L 4 cyl engine, front-wheel drive, automatic, with 99294 km on it.",24490
"I am looking at a 2021 Toyota Corolla ZR Hybrid, black, 1.8 L 4-cyl engine, front-wheel drive, automatic, 5 doors, 5 seats.",44878
"I have a 2007 Toyota Yaris YRS, a sleek silver exterior. It's an automatic with a 1.5 L, 4 cyl engine, and has 264691 km on the odometer.",7949
"There is a used 2012 Jeep Grand Cherokee Cherokee, red, with a black interior. It's an automatic, unspecified engine size, with 229,839 km.",13999
"I am looking at a 2010 Toyota Corolla Conquest, grey with grey interior. It's a 4-cylinder, 1.8 L engine, 5-door hatchback, and has 238270 km.",8800
"I have a 2009 Toyota HiAce, white with black interior. It's an automatic, rear-wheel drive, and has 76259 km on the odometer.",32900
"I have a 2015 Jeep Patriot Limited, a black SUV with an automatic transmission. It's equipped with a 2.4L engine and has clocked 140964 km.",13990
"I am looking at a white 2003 Toyota HiAce, a dependable commercial vehicle. It's an automatic with a 2.4 L, 4 cyl engine, rear drive, and 26,6848 km driven.",9999
"I have a 2013 Volvo S60 T4 Teknik, a blue hatchback with automatic transmission, 1.6-liter 4-cylinder engine, and 141000 km on the odometer.",14999
"It's a 2016 Mitsubishi Triton GLX Plus, white, diesel. Automatic transmission, 2.4 L, 4-cylinder engine, and it's done 240402 kilometers.",22750
"I have a 2010 Mercedes-Benz E250 CGI Elegance, 1.8L 4 cyl, automatic, rear-wheel drive, black color, and have clocked 101126 km.",21950
"A 2013 Mercedes-Benz A250 Sport is available, white with a grey interior. It's a hatchback with an automatic transmission, 2 L, 4 cyl engine, and 117254 km on the clock.",19999
"I have a 2012 Toyota 86 GT coupe, sleek in black. It's an automatic with a 2-liter, 4-cylinder engine, rear drive, and has 178747 km on the odometer.",19900
"I am looking at a used 2022 Mazda CX-5 Maxx Sport, black exterior, 2.5L 4 cyl engine, automatic, with 10579 km, 5 seats.",37990
"I have a 2010 Toyota Corolla Ascent, a red hatchback with automatic transmission, 1.8-liter 4-cylinder engine, and 167101 km on the meter.",12990
"I am looking at a used 2013 Ford Falcon XR6. blue with a black interior, 4 L, 6 cyl engine, rear drive, with 16,3161 km.",16999
"I am looking at a 2021 Abarth 595 Competizione. Black with a black interior, 1.4 L, 4 cyl engine, front-wheel drive, automatic, 13200 km.",36990
"I am looking at a 2014 Honda CR-V VTI-L, a white SUV with black interior. It's got a 2.4L engine, automatic transmission, and has covered 103211 km.",23880
"I have a 2007 Toyota Corolla Ultima, a sleek silver exterior. It's an automatic with a 1.8 L, 4 cyl engine, and has 177751 km on the odometer.",10990
"I am looking at a used 2016 Toyota HiAce Commuter, silver with a black interior. It's an automatic with a 2.7 L, 4 cyl engine, rear drive, and has done 119614 km.",44900
