Brand,Year,Model,Car/Suv,UsedOrNew,Transmission,Engine,DriveType,FuelType,ColourExtInt,CylindersinEngine,BodyType,Doors,Seats,Price
Holden,2010.0,Captiva,SUV,USED,Automatic,"4 cyl, 2 L",4WD,Diesel,Red / -,4 cyl,SUV, 4 Doors, 7 Seats,6999
Mitsubishi,2017.0,Outlander,SUV,USED,Automatic,"4 cyl, 2.3 L",AWD,Diesel,Brown / Black,4 cyl,SUV, 4 Doors, 7 Seats,28400
Ford,2016.0,Mustang,Coupe,USED,Automatic,"8 cyl, 5 L",Rear,Premium,Grey / Black,8 cyl,Coupe, 2 Doors, 4 Seats,45990
Hyundai,2016.0,Santa,SUV,USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,Black / -,4 cyl,SUV, 4 Doors, 7 Seats,25999
Toyota,2021.0,RAV4,SUV,USED,Automatic,"4 cyl, 2.5 L",Front,Hybrid,Silver / -,4 cyl,SUV, 5 Doors, 5 Seats,45988
Toyota,2018.0,Yaris,Hatchback,USED,Automatic,"4 cyl, 1.3 L",Front,Unleaded,White / Black  Cloth,4 cyl,Hatchback, 5 Doors, 5 Seats,19990
Audi,2016.0,A4,Sedan,USED,Automatic,"4 cyl, 2 L",Front,Premium,Grey / -,4 cyl,Sedan, 4 Doors, 5 Seats,38990
Mitsubishi,2014.0,Triton,Ute / Tray,USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,White / -,4 cyl,Ute / Tray, 4 Doors, 5 Seats,14913
Toyota,2012.0,Hilux,Ute / Tray,USED,Automatic,"4 cyl, 3 L",4WD,Diesel,Blue / Black,4 cyl,Ute / Tray, 4 Doors, 5 Seats,33990
Kia,2013.0,Sorento,SUV,USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,- / -,4 cyl,SUV, 4 Doors, 7 Seats,19999
BMW,2018.0,118I,Hatchback,USED,Automatic,"3 cyl, 1.5 L",Rear,Premium,Black / Black,3 cyl,Hatchback, 5 Doors, 5 Seats,33900
Ford,2018.0,Ranger,Ute / Tray,USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,Blue / -,5 cyl,Ute / Tray, 4 Doors, 5 Seats,43990
Ram,2022.0,1500,Ute / Tray,USED,Automatic,"8 cyl, 5.7 L",4WD,Premium,White / -,8 cyl,Ute / Tray, 4 Doors, 5 Seats,96986
